Category: All categories

Day,bitcoin: (United States)
2015-03-01,28
2015-03-02,30
2015-03-03,31
2015-03-04,31
2015-03-05,31
2015-03-06,36
2015-03-07,34
2015-03-08,29
2015-03-09,29
2015-03-10,31
2015-03-11,31
2015-03-12,30
2015-03-13,29
2015-03-14,27
2015-03-15,28
2015-03-16,29
2015-03-17,25
2015-03-18,33
2015-03-19,31
2015-03-20,33
2015-03-21,28
2015-03-22,28
2015-03-23,28
2015-03-24,28
2015-03-25,33
2015-03-26,26
2015-03-27,25
2015-03-28,26
2015-03-29,21
2015-03-30,35
2015-03-31,31
2015-04-01,30
2015-04-02,29
2015-04-03,26
2015-04-04,26
2015-04-05,31
2015-04-06,31
2015-04-07,29
2015-04-08,30
2015-04-09,30
2015-04-10,28
2015-04-11,28
2015-04-12,22
2015-04-13,28
2015-04-14,29
2015-04-15,26
2015-04-16,27
2015-04-17,23
2015-04-18,19
2015-04-19,23
2015-04-20,23
2015-04-21,27
2015-04-22,30
2015-04-23,26
2015-04-24,25
2015-04-25,24
2015-04-26,26
2015-04-27,24
2015-04-28,24
2015-04-29,22
2015-04-30,32
2015-05-01,27
2015-05-02,23
2015-05-03,25
2015-05-04,22
2015-05-05,26
2015-05-06,24
2015-05-07,25
2015-05-08,25
2015-05-09,20
2015-05-10,22
2015-05-11,24
2015-05-12,25
2015-05-13,24
2015-05-14,33
2015-05-15,27
2015-05-16,25
2015-05-17,28
2015-05-18,23
2015-05-19,29
2015-05-20,29
2015-05-21,27
2015-05-22,25
2015-05-23,22
2015-05-24,22
2015-05-25,25
2015-05-26,23
2015-05-27,27
2015-05-28,22
2015-05-29,30
2015-05-30,34
2015-05-31,28
2015-06-01,25
2015-06-02,27
2015-06-03,28
2015-06-04,23
2015-06-05,24
2015-06-06,24
2015-06-07,26
2015-06-08,22
2015-06-09,25
2015-06-10,23
2015-06-11,23
2015-06-12,24
2015-06-13,19
2015-06-14,24
2015-06-15,24
2015-06-16,27
2015-06-17,25
2015-06-18,100
2015-06-19,33
2015-06-20,36
2015-06-21,28
2015-06-22,27
2015-06-23,28
2015-06-24,25
2015-06-25,36
2015-06-26,22
2015-06-27,33
2015-06-28,26
2015-06-29,29
2015-06-30,40
2015-07-01,42
2015-07-02,30
2015-07-03,27
2015-07-04,34
2015-07-05,37
2015-07-06,35
2015-07-07,33
2015-07-08,35
2015-07-09,32
2015-07-10,35
2015-07-11,35
2015-07-12,44
2015-07-13,36
2015-07-14,30
2015-07-15,32
2015-07-16,31
2015-07-17,25
2015-07-18,29
2015-07-19,27
2015-07-20,30
2015-07-21,30
2015-07-22,31
2015-07-23,25
2015-07-24,30
2015-07-25,28
2015-07-26,28
2015-07-27,30
2015-07-28,33
2015-07-29,29
2015-07-30,21
2015-07-31,25
2015-08-01,42
2015-08-02,31
2015-08-03,30
2015-08-04,25
2015-08-05,29
2015-08-06,23
2015-08-07,26
2015-08-08,27
2015-08-09,28
2015-08-10,26
2015-08-11,25
2015-08-12,27
2015-08-13,24
2015-08-14,25
2015-08-15,23
2015-08-16,27
2015-08-17,27
2015-08-18,33
2015-08-19,40
2015-08-20,28
2015-08-21,32
2015-08-22,26
2015-08-23,31
2015-08-24,36
2015-08-25,37
2015-08-26,32
2015-08-27,28
2015-08-28,30
2015-08-29,27
2015-08-30,24
2015-08-31,24
2015-09-01,29
2015-09-02,29
2015-09-03,21
2015-09-04,26
2015-09-05,23
2015-09-06,22
2015-09-07,23
2015-09-08,24
2015-09-09,25
2015-09-10,26
2015-09-11,21
2015-09-12,23
2015-09-13,26
2015-09-14,27
2015-09-15,23
2015-09-16,26
2015-09-17,24
2015-09-18,28
2015-09-19,26
2015-09-20,22
2015-09-21,26
2015-09-22,27
2015-09-23,26
2015-09-24,28
2015-09-25,26
2015-09-26,27
2015-09-27,25
2015-09-28,27
2015-09-29,25
2015-09-30,22
2015-10-01,23
2015-10-02,23
2015-10-03,24
2015-10-04,22
2015-10-05,27
2015-10-06,28
2015-10-07,27
2015-10-08,31
2015-10-09,23
2015-10-10,22
2015-10-11,24
2015-10-12,23
2015-10-13,22
2015-10-14,22
2015-10-15,22
2015-10-16,24
2015-10-17,26
2015-10-18,22
2015-10-19,26
2015-10-20,25
2015-10-21,22
2015-10-22,24
2015-10-23,27
2015-10-24,23
2015-10-25,28
2015-10-26,29
2015-10-27,28
2015-10-28,30
2015-10-29,33
2015-10-30,38
2015-10-31,29
2015-11-01,28
