Category: All categories

Day,bitcoin: (United States)
2018-07-01,64
2018-07-02,80
2018-07-03,71
2018-07-04,63
2018-07-05,64
2018-07-06,62
2018-07-07,49
2018-07-08,62
2018-07-09,60
2018-07-10,71
2018-07-11,65
2018-07-12,71
2018-07-13,63
2018-07-14,57
2018-07-15,51
2018-07-16,65
2018-07-17,97
2018-07-18,100
2018-07-19,83
2018-07-20,75
2018-07-21,57
2018-07-22,59
2018-07-23,75
2018-07-24,98
2018-07-25,97
2018-07-26,88
2018-07-27,88
2018-07-28,63
2018-07-29,57
2018-07-30,74
2018-07-31,78
2018-08-01,72
2018-08-02,65
2018-08-03,76
2018-08-04,66
2018-08-05,63
2018-08-06,72
2018-08-07,75
2018-08-08,100
2018-08-09,77
2018-08-10,73
2018-08-11,75
2018-08-12,66
2018-08-13,71
2018-08-14,94
2018-08-15,90
2018-08-16,77
2018-08-17,68
2018-08-18,56
2018-08-19,51
2018-08-20,67
2018-08-21,68
2018-08-22,76
2018-08-23,68
2018-08-24,64
2018-08-25,59
2018-08-26,54
2018-08-27,65
2018-08-28,78
2018-08-29,69
2018-08-30,59
2018-08-31,53
2018-09-01,52
2018-09-02,53
2018-09-03,55
2018-09-04,62
2018-09-05,80
2018-09-06,95
2018-09-07,66
2018-09-08,57
2018-09-09,57
2018-09-10,64
2018-09-11,66
2018-09-12,73
2018-09-13,66
2018-09-14,56
2018-09-15,48
2018-09-16,44
2018-09-17,54
2018-09-18,56
2018-09-19,54
2018-09-20,56
2018-09-21,61
2018-09-22,54
2018-09-23,46
2018-09-24,54
2018-09-25,57
2018-09-26,55
2018-09-27,52
2018-09-28,53
2018-09-29,44
2018-09-30,41
2018-10-01,45
2018-10-02,45
2018-10-03,50
2018-10-04,47
2018-10-05,45
2018-10-06,37
2018-10-07,34
2018-10-08,44
2018-10-09,45
2018-10-10,50
2018-10-11,69
2018-10-12,59
2018-10-13,43
2018-10-14,42
2018-10-15,54
2018-10-16,49
2018-10-17,43
2018-10-18,48
2018-10-19,44
2018-10-20,37
2018-10-21,31
2018-10-22,44
2018-10-23,50
2018-10-24,44
2018-10-25,46
2018-10-26,42
2018-10-27,36
2018-10-28,33
2018-10-29,49
2018-10-30,45
