Category: All categories

Day,bitcoin: (United States)
2012-01-01,12
2012-01-02,14
2012-01-03,14
2012-01-04,15
2012-01-05,11
2012-01-06,16
2012-01-07,18
2012-01-08,17
2012-01-09,13
2012-01-10,15
2012-01-11,15
2012-01-12,18
2012-01-13,13
2012-01-14,10
2012-01-15,12
2012-01-16,100
2012-01-17,50
2012-01-18,30
2012-01-19,22
2012-01-20,17
2012-01-21,17
2012-01-22,15
2012-01-23,13
2012-01-24,13
2012-01-25,18
2012-01-26,14
2012-01-27,15
2012-01-28,13
2012-01-29,17
2012-01-30,17
2012-01-31,17
2012-02-01,13
2012-02-02,16
2012-02-03,15
2012-02-04,7
2012-02-05,17
2012-02-06,12
2012-02-07,12
2012-02-08,14
2012-02-09,10
2012-02-10,16
2012-02-11,21
2012-02-12,10
2012-02-13,12
2012-02-14,15
2012-02-15,16
2012-02-16,15
2012-02-17,10
2012-02-18,12
2012-02-19,16
2012-02-20,14
2012-02-21,11
2012-02-22,10
2012-02-23,16
2012-02-24,14
2012-02-25,13
2012-02-26,9
2012-02-27,13
2012-02-28,11
2012-02-29,15
2012-03-01,6
2012-03-02,17
2012-03-03,17
2012-03-04,10
2012-03-05,12
2012-03-06,16
2012-03-07,9
2012-03-08,11
2012-03-09,12
2012-03-10,10
2012-03-11,12
2012-03-12,12
2012-03-13,13
2012-03-14,14
2012-03-15,10
2012-03-16,11
2012-03-17,10
2012-03-18,9
2012-03-19,12
2012-03-20,12
2012-03-21,13
2012-03-22,16
2012-03-23,11
2012-03-24,16
2012-03-25,9
2012-03-26,12
2012-03-27,8
2012-03-28,12
2012-03-29,12
2012-03-30,11
2012-03-31,9
2012-04-01,7
2012-04-02,13
2012-04-03,16
2012-04-04,13
2012-04-05,12
2012-04-06,16
2012-04-07,11
2012-04-08,15
2012-04-09,7
2012-04-10,9
2012-04-11,11
2012-04-12,11
2012-04-13,9
2012-04-14,12
2012-04-15,10
2012-04-16,9
2012-04-17,8
2012-04-18,14
2012-04-19,13
2012-04-20,13
2012-04-21,11
2012-04-22,13
2012-04-23,12
2012-04-24,8
2012-04-25,11
2012-04-26,22
2012-04-27,19
2012-04-28,17
2012-04-29,13
2012-04-30,13
2012-05-01,13
2012-05-02,14
2012-05-03,9
2012-05-04,11
2012-05-05,13
2012-05-06,8
2012-05-07,15
2012-05-08,12
2012-05-09,8
2012-05-10,17
2012-05-11,14
2012-05-12,17
2012-05-13,16
2012-05-14,16
2012-05-15,18
2012-05-16,10
2012-05-17,9
2012-05-18,8
2012-05-19,14
2012-05-20,11
2012-05-21,11
2012-05-22,12
2012-05-23,11
2012-05-24,8
2012-05-25,12
2012-05-26,14
2012-05-27,11
2012-05-28,12
2012-05-29,13
2012-05-30,11
2012-05-31,8
2012-06-01,12
2012-06-02,11
2012-06-03,9
2012-06-04,10
2012-06-05,10
2012-06-06,9
2012-06-07,14
2012-06-08,14
2012-06-09,23
2012-06-10,14
2012-06-11,16
2012-06-12,15
2012-06-13,18
2012-06-14,15
2012-06-15,15
2012-06-16,16
2012-06-17,17
2012-06-18,15
2012-06-19,14
2012-06-20,16
2012-06-21,14
2012-06-22,15
2012-06-23,15
2012-06-24,18
2012-06-25,15
2012-06-26,12
2012-06-27,13
2012-06-28,11
2012-06-29,13
2012-06-30,15
2012-07-01,15
2012-07-02,12
2012-07-03,10
2012-07-04,16
2012-07-05,13
2012-07-06,14
2012-07-07,14
2012-07-08,13
2012-07-09,24
2012-07-10,13
2012-07-11,19
2012-07-12,13
2012-07-13,15
2012-07-14,7
2012-07-15,15
2012-07-16,14
2012-07-17,16
2012-07-18,20
2012-07-19,21
2012-07-20,18
2012-07-21,22
2012-07-22,14
2012-07-23,16
2012-07-24,9
2012-07-25,12
2012-07-26,18
2012-07-27,19
2012-07-28,13
2012-07-29,12
2012-07-30,13
2012-07-31,12
2012-08-01,15
