Category: All categories

Day,bitcoin: (United States)
2016-07-01,37
2016-07-02,34
2016-07-03,34
2016-07-04,31
2016-07-05,32
2016-07-06,31
2016-07-07,36
2016-07-08,31
2016-07-09,42
2016-07-10,40
2016-07-11,32
2016-07-12,31
2016-07-13,28
2016-07-14,26
2016-07-15,26
2016-07-16,25
2016-07-17,29
2016-07-18,28
2016-07-19,29
2016-07-20,27
2016-07-21,25
2016-07-22,24
2016-07-23,25
2016-07-24,23
2016-07-25,23
2016-07-26,28
2016-07-27,25
2016-07-28,24
2016-07-29,26
2016-07-30,21
2016-07-31,25
2016-08-01,26
2016-08-02,35
2016-08-03,66
2016-08-04,39
2016-08-05,31
2016-08-06,24
2016-08-07,31
2016-08-08,29
2016-08-09,29
2016-08-10,23
2016-08-11,22
2016-08-12,23
2016-08-13,20
2016-08-14,22
2016-08-15,25
2016-08-16,23
2016-08-17,20
2016-08-18,24
2016-08-19,22
2016-08-20,21
2016-08-21,18
2016-08-22,22
2016-08-23,23
2016-08-24,24
2016-08-25,23
2016-08-26,21
2016-08-27,23
2016-08-28,21
2016-08-29,22
2016-08-30,21
2016-08-31,24
2016-09-01,23
2016-09-02,24
2016-09-03,24
2016-09-04,26
2016-09-05,27
2016-09-06,23
2016-09-07,26
2016-09-08,31
2016-09-09,27
2016-09-10,29
2016-09-11,28
2016-09-12,23
2016-09-13,28
2016-09-14,22
2016-09-15,23
2016-09-16,21
2016-09-17,25
2016-09-18,23
2016-09-19,23
2016-09-20,24
2016-09-21,25
2016-09-22,24
2016-09-23,26
2016-09-24,23
2016-09-25,21
2016-09-26,22
2016-09-27,21
2016-09-28,22
2016-09-29,20
2016-09-30,25
2016-10-01,21
2016-10-02,23
2016-10-03,21
2016-10-04,27
2016-10-05,20
2016-10-06,21
2016-10-07,19
2016-10-08,19
2016-10-09,23
2016-10-10,20
2016-10-11,26
2016-10-12,25
2016-10-13,23
2016-10-14,20
2016-10-15,23
2016-10-16,21
2016-10-17,23
2016-10-18,24
2016-10-19,24
2016-10-20,21
2016-10-21,22
2016-10-22,22
2016-10-23,25
2016-10-24,24
2016-10-25,24
2016-10-26,27
2016-10-27,28
2016-10-28,27
2016-10-29,35
2016-10-30,29
2016-10-31,28
2016-11-01,30
2016-11-02,30
2016-11-03,29
2016-11-04,28
2016-11-05,28
2016-11-06,25
2016-11-07,25
2016-11-08,23
2016-11-09,41
2016-11-10,28
2016-11-11,27
2016-11-12,24
2016-11-13,23
2016-11-14,25
2016-11-15,26
2016-11-16,28
2016-11-17,29
2016-11-18,26
2016-11-19,26
2016-11-20,26
2016-11-21,26
2016-11-22,29
2016-11-23,29
2016-11-24,28
2016-11-25,25
2016-11-26,25
2016-11-27,24
2016-11-28,27
2016-11-29,27
2016-11-30,28
2016-12-01,31
2016-12-02,31
2016-12-03,27
2016-12-04,28
2016-12-05,30
2016-12-06,33
2016-12-07,32
2016-12-08,32
2016-12-09,27
2016-12-10,30
2016-12-11,26
2016-12-12,29
2016-12-13,31
2016-12-14,28
2016-12-15,29
2016-12-16,29
2016-12-17,29
2016-12-18,27
2016-12-19,28
2016-12-20,30
2016-12-21,41
2016-12-22,51
2016-12-23,58
2016-12-24,43
2016-12-25,43
2016-12-26,39
2016-12-27,47
2016-12-28,51
2016-12-29,56
2016-12-30,49
2016-12-31,43
2017-01-01,43
2017-01-02,76
2017-01-03,64
2017-01-04,79
2017-01-05,100
2017-01-06,79
2017-01-07,63
2017-01-08,50
2017-01-09,49
2017-01-10,45
2017-01-11,59
2017-01-12,63
2017-01-13,48
2017-01-14,46
2017-01-15,41
2017-01-16,39
2017-01-17,46
2017-01-18,41
2017-01-19,42
2017-01-20,39
2017-01-21,37
2017-01-22,35
2017-01-23,34
2017-01-24,40
2017-01-25,39
2017-01-26,41
2017-01-27,33
2017-01-28,35
2017-01-29,32
2017-01-30,35
2017-01-31,40
2017-02-01,39
2017-02-02,45
2017-02-03,49
2017-02-04,43
2017-02-05,45
2017-02-06,35
2017-02-07,40
2017-02-08,47
2017-02-09,50
2017-02-10,45
2017-02-11,42
2017-02-12,39
2017-02-13,36
2017-02-14,38
2017-02-15,36
2017-02-16,38
2017-02-17,41
2017-02-18,37
2017-02-19,35
2017-02-20,34
2017-02-21,50
2017-02-22,51
2017-02-23,49
2017-02-24,61
2017-02-25,46
2017-02-26,45
2017-02-27,46
2017-02-28,47
2017-03-01,52
