Category: All categories

Day,bitcoin: (United States)
2013-12-01,48
2013-12-02,56
2013-12-03,55
2013-12-04,48
2013-12-05,73
2013-12-06,74
2013-12-07,80
2013-12-08,50
2013-12-09,48
2013-12-10,48
2013-12-11,47
2013-12-12,44
2013-12-13,39
2013-12-14,35
2013-12-15,36
2013-12-16,39
2013-12-17,40
2013-12-18,81
2013-12-19,59
2013-12-20,42
2013-12-21,39
2013-12-22,36
2013-12-23,37
2013-12-24,35
2013-12-25,30
2013-12-26,29
2013-12-27,30
2013-12-28,29
2013-12-29,25
2013-12-30,26
2013-12-31,25
2014-01-01,22
2014-01-02,25
2014-01-03,26
2014-01-04,23
2014-01-05,24
2014-01-06,32
2014-01-07,28
2014-01-08,30
2014-01-09,30
2014-01-10,29
2014-01-11,28
2014-01-12,24
2014-01-13,24
2014-01-14,24
2014-01-15,28
2014-01-16,39
2014-01-17,37
2014-01-18,26
2014-01-19,25
2014-01-20,28
2014-01-21,34
2014-01-22,36
2014-01-23,33
2014-01-24,30
2014-01-25,26
2014-01-26,23
2014-01-27,42
2014-01-28,47
2014-01-29,34
2014-01-30,32
2014-01-31,27
2014-02-01,22
2014-02-02,22
2014-02-03,21
2014-02-04,24
2014-02-05,22
2014-02-06,23
2014-02-07,41
2014-02-08,28
2014-02-09,27
2014-02-10,41
2014-02-11,39
2014-02-12,29
2014-02-13,28
2014-02-14,38
2014-02-15,25
2014-02-16,27
2014-02-17,23
2014-02-18,31
2014-02-19,30
2014-02-20,33
2014-02-21,28
2014-02-22,24
2014-02-23,22
2014-02-24,26
2014-02-25,100
2014-02-26,71
2014-02-27,41
2014-02-28,64
2014-03-01,45
2014-03-02,29
2014-03-03,29
2014-03-04,32
2014-03-05,42
2014-03-06,67
2014-03-07,78
2014-03-08,36
2014-03-09,26
2014-03-10,26
2014-03-11,25
2014-03-12,24
2014-03-13,20
2014-03-14,20
2014-03-15,16
2014-03-16,14
2014-03-17,18
2014-03-18,18
2014-03-19,18
2014-03-20,20
2014-03-21,25
2014-03-22,17
2014-03-23,17
2014-03-24,17
2014-03-25,23
2014-03-26,24
2014-03-27,24
2014-03-28,20
2014-03-29,15
2014-03-30,17
2014-03-31,20
2014-04-01,15
2014-04-02,19
2014-04-03,18
2014-04-04,16
2014-04-05,13
2014-04-06,13
2014-04-07,14
2014-04-08,14
2014-04-09,17
2014-04-10,19
2014-04-11,17
2014-04-12,12
2014-04-13,13
2014-04-14,14
2014-04-15,14
2014-04-16,18
2014-04-17,15
2014-04-18,14
2014-04-19,13
2014-04-20,12
2014-04-21,12
2014-04-22,12
2014-04-23,14
2014-04-24,12
2014-04-25,15
2014-04-26,11
2014-04-27,10
2014-04-28,12
2014-04-29,13
2014-04-30,14
2014-05-01,14
2014-05-02,11
2014-05-03,10
2014-05-04,10
2014-05-05,12
2014-05-06,11
2014-05-07,11
2014-05-08,10
2014-05-09,13
2014-05-10,9
2014-05-11,9
2014-05-12,11
2014-05-13,11
2014-05-14,10
2014-05-15,11
2014-05-16,12
2014-05-17,10
2014-05-18,10
2014-05-19,10
2014-05-20,13
2014-05-21,12
2014-05-22,12
2014-05-23,14
2014-05-24,9
2014-05-25,12
2014-05-26,12
2014-05-27,12
2014-05-28,12
2014-05-29,15
2014-05-30,15
2014-05-31,14
2014-06-01,13
2014-06-02,12
2014-06-03,13
2014-06-04,13
2014-06-05,13
2014-06-06,12
2014-06-07,9
2014-06-08,10
2014-06-09,9
2014-06-10,13
2014-06-11,14
2014-06-12,14
2014-06-13,17
2014-06-14,14
2014-06-15,13
2014-06-16,14
2014-06-17,12
2014-06-18,14
2014-06-19,13
2014-06-20,11
2014-06-21,8
2014-06-22,10
2014-06-23,10
2014-06-24,9
2014-06-25,9
2014-06-26,10
2014-06-27,14
2014-06-28,11
2014-06-29,9
2014-06-30,12
2014-07-01,13
