Category: All categories

Day,bitcoin: (United States)
2017-03-01,16
2017-03-02,21
2017-03-03,26
2017-03-04,20
2017-03-05,17
2017-03-06,17
2017-03-07,18
2017-03-08,19
2017-03-09,20
2017-03-10,33
2017-03-11,25
2017-03-12,16
2017-03-13,18
2017-03-14,16
2017-03-15,16
2017-03-16,18
2017-03-17,19
2017-03-18,21
2017-03-19,18
2017-03-20,17
2017-03-21,16
2017-03-22,16
2017-03-23,16
2017-03-24,17
2017-03-25,16
2017-03-26,15
2017-03-27,16
2017-03-28,14
2017-03-29,14
2017-03-30,13
2017-03-31,13
2017-04-01,13
2017-04-02,12
2017-04-03,14
2017-04-04,14
2017-04-05,13
2017-04-06,13
2017-04-07,14
2017-04-08,12
2017-04-09,13
2017-04-10,13
2017-04-11,14
2017-04-12,16
2017-04-13,14
2017-04-14,13
2017-04-15,12
2017-04-16,13
2017-04-17,13
2017-04-18,14
2017-04-19,13
2017-04-20,12
2017-04-21,13
2017-04-22,13
2017-04-23,13
2017-04-24,13
2017-04-25,15
2017-04-26,17
2017-04-27,17
2017-04-28,16
2017-04-29,15
2017-04-30,15
2017-05-01,21
2017-05-02,21
2017-05-03,22
2017-05-04,28
2017-05-05,26
2017-05-06,21
2017-05-07,19
2017-05-08,24
2017-05-09,32
2017-05-10,30
2017-05-11,33
2017-05-12,34
2017-05-13,34
2017-05-14,27
2017-05-15,36
2017-05-16,33
2017-05-17,29
2017-05-18,29
2017-05-19,34
2017-05-20,36
2017-05-21,34
2017-05-22,70
2017-05-23,70
2017-05-24,72
2017-05-25,98
2017-05-26,72
2017-05-27,58
2017-05-28,42
2017-05-29,42
2017-05-30,44
2017-05-31,44
2017-06-01,43
2017-06-02,37
2017-06-03,35
2017-06-04,31
2017-06-05,36
2017-06-06,55
2017-06-07,49
2017-06-08,41
2017-06-09,40
2017-06-10,37
2017-06-11,39
2017-06-12,56
2017-06-13,45
2017-06-14,47
2017-06-15,57
2017-06-16,42
2017-06-17,35
2017-06-18,30
2017-06-19,34
2017-06-20,37
2017-06-21,40
2017-06-22,38
2017-06-23,33
2017-06-24,30
2017-06-25,30
2017-06-26,39
2017-06-27,42
2017-06-28,39
2017-06-29,33
2017-06-30,28
2017-07-01,25
2017-07-02,25
2017-07-03,25
2017-07-04,25
2017-07-05,27
2017-07-06,28
2017-07-07,28
2017-07-08,23
2017-07-09,23
2017-07-10,30
2017-07-11,31
2017-07-12,33
2017-07-13,31
2017-07-14,29
2017-07-15,31
2017-07-16,40
2017-07-17,38
2017-07-18,38
2017-07-19,34
2017-07-20,40
2017-07-21,40
2017-07-22,33
2017-07-23,34
2017-07-24,34
2017-07-25,38
2017-07-26,35
2017-07-27,31
2017-07-28,40
2017-07-29,30
2017-07-30,31
2017-07-31,42
2017-08-01,79
2017-08-02,69
2017-08-03,42
2017-08-04,40
2017-08-05,53
2017-08-06,42
2017-08-07,50
2017-08-08,50
2017-08-09,47
2017-08-10,45
2017-08-11,51
2017-08-12,58
2017-08-13,72
2017-08-14,81
2017-08-15,81
2017-08-16,64
2017-08-17,63
2017-08-18,63
2017-08-19,56
2017-08-20,51
2017-08-21,47
2017-08-22,61
2017-08-23,53
2017-08-24,50
2017-08-25,52
2017-08-26,44
2017-08-27,37
2017-08-28,42
2017-08-29,53
2017-08-30,54
2017-08-31,58
2017-09-01,65
2017-09-02,63
2017-09-03,52
2017-09-04,65
2017-09-05,60
2017-09-06,50
2017-09-07,45
2017-09-08,55
2017-09-09,39
2017-09-10,37
2017-09-11,45
2017-09-12,52
2017-09-13,73
2017-09-14,91
2017-09-15,89
2017-09-16,55
2017-09-17,46
2017-09-18,55
2017-09-19,53
2017-09-20,45
2017-09-21,48
2017-09-22,43
2017-09-23,36
2017-09-24,31
2017-09-25,38
2017-09-26,38
2017-09-27,44
2017-09-28,40
2017-09-29,39
2017-09-30,34
2017-10-01,37
2017-10-02,38
2017-10-03,39
2017-10-04,36
2017-10-05,36
2017-10-06,37
2017-10-07,31
2017-10-08,34
2017-10-09,45
2017-10-10,47
2017-10-11,44
2017-10-12,77
2017-10-13,94
2017-10-14,62
2017-10-15,57
2017-10-16,60
2017-10-17,56
2017-10-18,59
2017-10-19,56
2017-10-20,71
2017-10-21,74
2017-10-22,59
2017-10-23,69
2017-10-24,76
2017-10-25,66
2017-10-26,66
2017-10-27,57
2017-10-28,50
2017-10-29,52
2017-10-30,65
2017-10-31,80
2017-11-01,100
