Category: All categories

Day,bitcoin: (United States)
2014-07-01,28
2014-07-02,28
2014-07-03,24
2014-07-04,20
2014-07-05,20
2014-07-06,17
2014-07-07,23
2014-07-08,23
2014-07-09,22
2014-07-10,24
2014-07-11,23
2014-07-12,23
2014-07-13,20
2014-07-14,22
2014-07-15,24
2014-07-16,26
2014-07-17,25
2014-07-18,27
2014-07-19,25
2014-07-20,23
2014-07-21,23
2014-07-22,23
2014-07-23,22
2014-07-24,21
2014-07-25,20
2014-07-26,20
2014-07-27,21
2014-07-28,25
2014-07-29,22
2014-07-30,28
2014-07-31,26
2014-08-01,21
2014-08-02,20
2014-08-03,20
2014-08-04,17
2014-08-05,21
2014-08-06,22
2014-08-07,21
2014-08-08,22
2014-08-09,16
2014-08-10,18
2014-08-11,22
2014-08-12,23
2014-08-13,27
2014-08-14,28
2014-08-15,24
2014-08-16,26
2014-08-17,23
2014-08-18,26
2014-08-19,25
2014-08-20,25
2014-08-21,21
2014-08-22,21
2014-08-23,21
2014-08-24,20
2014-08-25,17
2014-08-26,22
2014-08-27,19
2014-08-28,18
2014-08-29,21
2014-08-30,18
2014-08-31,23
2014-09-01,26
2014-09-02,21
2014-09-03,20
2014-09-04,20
2014-09-05,20
2014-09-06,21
2014-09-07,18
2014-09-08,19
2014-09-09,22
2014-09-10,22
2014-09-11,26
2014-09-12,21
2014-09-13,18
2014-09-14,17
2014-09-15,20
2014-09-16,22
2014-09-17,19
2014-09-18,24
2014-09-19,29
2014-09-20,22
2014-09-21,18
2014-09-22,20
2014-09-23,26
2014-09-24,30
2014-09-25,21
2014-09-26,20
2014-09-27,19
2014-09-28,21
2014-09-29,25
2014-09-30,24
2014-10-01,22
2014-10-02,22
2014-10-03,22
2014-10-04,23
2014-10-05,29
2014-10-06,37
2014-10-07,28
2014-10-08,26
2014-10-09,24
2014-10-10,23
2014-10-11,23
2014-10-12,20
2014-10-13,24
2014-10-14,25
2014-10-15,26
2014-10-16,20
2014-10-17,23
2014-10-18,16
2014-10-19,15
2014-10-20,21
2014-10-21,22
2014-10-22,21
2014-10-23,21
2014-10-24,18
2014-10-25,20
2014-10-26,17
2014-10-27,17
2014-10-28,19
2014-10-29,19
2014-10-30,20
2014-10-31,14
2014-11-01,20
2014-11-02,17
2014-11-03,19
2014-11-04,17
2014-11-05,17
2014-11-06,22
2014-11-07,24
2014-11-08,22
2014-11-09,21
2014-11-10,23
2014-11-11,21
2014-11-12,27
2014-11-13,30
2014-11-14,22
2014-11-15,22
2014-11-16,20
2014-11-17,23
2014-11-18,24
2014-11-19,24
2014-11-20,21
2014-11-21,19
2014-11-22,18
2014-11-23,15
2014-11-24,19
2014-11-25,17
2014-11-26,18
2014-11-27,17
2014-11-28,19
2014-11-29,19
2014-11-30,19
2014-12-01,19
2014-12-02,21
2014-12-03,24
2014-12-04,19
2014-12-05,18
2014-12-06,20
2014-12-07,25
2014-12-08,25
2014-12-09,22
2014-12-10,25
2014-12-11,32
2014-12-12,26
2014-12-13,21
2014-12-14,19
2014-12-15,21
2014-12-16,23
2014-12-17,22
2014-12-18,23
2014-12-19,22
2014-12-20,18
2014-12-21,23
2014-12-22,21
2014-12-23,21
2014-12-24,22
2014-12-25,25
2014-12-26,31
2014-12-27,100
2014-12-28,21
2014-12-29,20
2014-12-30,21
2014-12-31,20
2015-01-01,18
2015-01-02,19
2015-01-03,21
2015-01-04,27
2015-01-05,28
2015-01-06,30
2015-01-07,22
2015-01-08,21
2015-01-09,25
2015-01-10,23
2015-01-11,19
2015-01-12,18
2015-01-13,25
2015-01-14,41
2015-01-15,34
2015-01-16,32
2015-01-17,22
2015-01-18,20
2015-01-19,22
2015-01-20,20
2015-01-21,23
2015-01-22,23
2015-01-23,21
2015-01-24,22
2015-01-25,20
2015-01-26,35
2015-01-27,28
2015-01-28,26
2015-01-29,23
2015-01-30,20
2015-01-31,15
2015-02-01,18
2015-02-02,16
2015-02-03,23
2015-02-04,21
2015-02-05,21
2015-02-06,22
2015-02-07,28
2015-02-08,23
2015-02-09,21
2015-02-10,23
2015-02-11,19
2015-02-12,18
2015-02-13,19
2015-02-14,18
2015-02-15,19
2015-02-16,18
2015-02-17,18
2015-02-18,21
2015-02-19,25
2015-02-20,49
2015-02-21,23
2015-02-22,23
2015-02-23,22
2015-02-24,20
2015-02-25,18
2015-02-26,18
2015-02-27,19
2015-02-28,17
2015-03-01,20
